Ligand,Score,Flag
ZINC000000049624,-5.40682888,0
ZINC000000029689,-5.38339949,0
ZINC000000035813,-5.38224554,0
ZINC000000002137,-5.37728024,0
ZINC000000158505,-5.35275173,0
ZINC000000040201,-5.34271336,0
ZINC000000008932,-5.3413291,0
ZINC000000009708,-5.33885431,0
ZINC000000027636,-5.33159876,0
ZINC000000006440,-5.33133793,0
ZINC000000002211,-5.32832432,0
ZINC000000000571,-5.32087183,0
ZINC000000266127,-5.31992054,0
ZINC000000166871,-5.31070518,0
ZINC000000116197,-5.31042767,0
ZINC000000018577,-5.31004429,0
ZINC000000008936,-5.30567789,0
ZINC000000039729,-5.30366802,0
ZINC000000369302,-5.29688406,0
ZINC000000030853,-5.28815079,0
ZINC000000066337,-5.28574419,0
ZINC000000031230,-5.26041842,0
ZINC000000012186,-5.25718212,0
ZINC000000060182,-5.23151016,0
ZINC000000039678,-5.20618868,0
ZINC000000158502,-5.19156456,0
ZINC000000124925,-5.19099998,0
ZINC000000004042,-5.18494654,0
ZINC000000017831,-5.17713165,0
ZINC000000158740,-5.1724782,0
ZINC000000013614,-5.17008924,0
ZINC000000105016,-5.16907883,0
ZINC000000161572,-5.16522455,0
ZINC000000152432,-5.1641717,0
ZINC000000124263,-5.15731335,0
ZINC000000002686,-5.14438534,0
ZINC000000001886,-5.14112663,0
ZINC000000163210,-5.14102459,0
ZINC000000022036,-5.13582373,0
ZINC000000003868,-5.1307683,0
ZINC000000086626,-5.13015604,0
ZINC000000035824,-5.12181234,0
ZINC000000265638,-5.11144209,0
ZINC000000035825,-5.09739304,0
ZINC000000002687,-5.09540462,0
ZINC000000050203,-5.09473467,0
ZINC000000155101,-5.08315086,0
ZINC000000066131,-5.08017635,0
ZINC000000003184,-5.07834005,0
ZINC000000050418,-5.07755423,0
ZINC000000333897,-5.07380676,0
ZINC000000031221,-5.06967115,0
ZINC000000001885,-5.05691528,0
ZINC000000334090,-5.05029631,0
ZINC000000065282,-5.04991245,0
ZINC000000013613,-5.04190731,0
ZINC000000331886,-5.03284979,0
ZINC000000039850,-5.0280652,0
ZINC000000047377,-5.02725172,0
ZINC000000039540,-5.02122736,0
ZINC000000334953,-5.00984049,0
ZINC000000004161,-4.99994373,0
ZINC000000036924,-4.99961615,0
ZINC000000065167,-4.99723721,0
ZINC000000120364,-4.98952484,0
ZINC000000154443,-4.9885211,0
ZINC000000000905,-4.98188877,0
ZINC000000124405,-4.96722841,0
ZINC000000160211,-4.96557093,0
ZINC000000078221,-4.96168852,0
ZINC000000053986,-4.93858528,0
ZINC000000003017,-4.93675137,0
ZINC000000160247,-4.93031216,0
ZINC000000248105,-4.92325115,0
ZINC000000086739,-4.92045927,0
ZINC000000170090,-4.90281582,0
ZINC000000053897,-4.88110495,0
ZINC000000332260,-4.87783623,0
ZINC000000115119,-4.85678673,0
ZINC000000162644,-4.84734869,0
ZINC000000072493,-4.82375383,0
ZINC000000389551,-4.8161521,0
ZINC000000002247,-4.81360102,0
ZINC000000011149,-4.81346989,0
ZINC000000051190,-4.81317472,0
10080504,-4.80045605,1
ZINC000000000345,-4.79988432,0
ZINC000000160395,-4.79502678,0
ZINC000000017885,-4.79291487,0
ZINC000000388576,-4.7557888,0
ZINC000000158099,-4.74118805,0
ZINC000000091886,-4.73661375,0
ZINC000000121471,-4.73494625,0
ZINC000000090751,-4.73061991,0
ZINC000000388574,-4.726758,0
ZINC000000075486,-4.70170546,0
ZINC000000025696,-4.69561625,0
ZINC000000039480,-4.68424988,0
ZINC000000053923,-4.65610123,0
ZINC000000001555,-4.65416908,0
ZINC000000001736,-4.59592819,0
ZINC000000153588,-4.57029438,0
ZINC000000096047,-4.52970314,0
ZINC000000000267,-4.52926397,0
ZINC000000388633,-4.51832438,0
ZINC000000061535,-4.50499487,0
ZINC000000051189,-4.4894166,0
ZINC000000032313,-4.47185898,0
ZINC000000330926,-4.46577263,0
ZINC000000273377,-4.43687057,0
ZINC000000099123,-4.40432978,0
ZINC000000024916,-4.40010214,0
ZINC000000388563,-4.39897299,0
ZINC000000157096,-4.36460352,0
ZINC000000019853,-4.31583977,0
ZINC000000057713,-4.20342731,0
ZINC000000028135,-3.97270298,0
ZINC000000335433,-3.8275826,0
